,city,Lat,lon,max temp,Humidity,Cloudiness,wind speed,country,date
29,Cherskiy,68.75,161.3,-20.52,98,100,7.07,RU,1579662000
30,Shima,24.4478,117.8111,64.35,66,100,2.68,CN,1579662000
31,Hilo,19.7297,-155.09,70.11,70,1,8.52,US,1579662000
32,Khasan,42.4308,130.6434,28.11,66,100,4.79,RU,1579662000
33,Piacabucu,-10.4056,-36.4344,78.6,85,67,13.27,BR,1579662000
34,Punta Arenas,-53.15,-70.9167,44.55,80,19,7.16,CL,1579662000
35,Clyde River,70.4692,-68.5914,-6.05,92,100,6.15,CA,1579662000
36,Bouar,5.934,15.596,64.38,21,37,7.07,CF,1579662000
37,Aksu,41.1231,80.2644,22.24,67,38,1.43,CN,1579662000
38,Saint-Philippe,-21.3585,55.7679,80.55,81,100,13.18,RE,1579662000
39,Lebu,-37.6167,-73.65,57.81,84,0,5.01,CL,1579662000
40,Safaga,26.7292,33.9365,47.39,72,0,6.55,EG,1579662000
41,San Jose,37.3394,-121.895,54.82,77,100,7.25,US,1579662000
42,Severo-Kuril'sk,50.6789,156.125,18.63,75,83,10.25,RU,1579662000
43,Bengkulu,-3.8004,102.2655,88.9,57,27,0.43,ID,1579662000
44,Geraldton,-28.7667,114.6,74.21,64,0,22.44,AU,1579662000
45,Petropavlovsk-Kamchatsky,53.0452,158.6483,16.83,69,0,11.12,RU,1579662000
46,Scotts Valley,37.0511,-122.0147,52.14,87,100,4.05,US,1579662000
47,Vaini,-21.2,-175.2,82.02,80,0,13.51,TO,1579662000
48,Puerto Ayora,-0.7393,-90.3518,76.46,80,98,9.19,EC,1579662000
49,Jinotega,13.0917,-86.0018,66.2,75,3,7.58,NI,1579662000
50,Kahului,20.8947,-156.47,74.73,73,19,14.67,US,1579662000
51,Amuntai,-2.4177,115.2494,88.74,54,51,6.06,ID,1579662000
52,Hobart,-42.8794,147.3294,79.66,50,100,20.22,AU,1579662000
53,Hithadhoo,-0.6,73.0833,83.64,79,87,13.35,MV,1579662000
54,Fare,-16.7,-151.0167,82.6,75,93,8.99,PF,1579662000
55,Skelleftea,64.7507,20.9528,31.06,72,65,11.16,SE,1579662000
56,Dikson,73.5069,80.5464,-12.28,86,100,11.36,RU,1579662000
57,Qaanaaq,77.484,-69.3632,-14.67,48,0,5.75,GL,1579662000
58,Airai,-8.9266,125.4092,83.05,52,100,4.59,TL,1579662000
59,Hay River,60.8156,-115.7999,1.56,96,0,2.48,CA,1579662000
60,Henties Bay,-22.116,14.2845,62.67,86,0,3.91,NA,1579662000
61,Plettenberg Bay,-34.0527,23.3716,66.4,93,96,12.26,ZA,1579662000
62,Matagami,49.7502,-77.6328,24.1,93,100,8.39,CA,1579662000
63,Faanui,-16.4833,-151.75,82.38,77,95,8.72,PF,1579662000
64,Codrington,-38.2667,141.9667,64.27,78,100,22.17,AU,1579662000
65,Umm Lajj,25.0213,37.2685,50.95,48,0,3.06,SA,1579662000
66,Manzanillo,20.3433,-77.1167,70.65,90,28,7.54,CU,1579662000
67,Souillac,-20.5167,57.5167,75.76,92,100,1.54,MU,1579662000
68,Kodinsk,58.6881,99.1844,-20.92,91,0,5.19,RU,1579662000
69,Pisco,-13.7,-76.2167,70.11,89,100,2.39,PE,1579662000
70,Avarua,-21.2078,-159.775,79.32,86,100,17.27,CK,1579662000
71,Hermanus,-34.4187,19.2345,67.33,87,98,23.96,ZA,1579662000
72,Busselton,-33.65,115.3333,70.84,64,94,14.76,AU,1579662000
73,San Rafael,-34.6177,-68.3301,78.67,44,92,18.5,AR,1579662000
74,Adrar,20.5022,-10.0711,58.41,39,100,8.93,MR,1579662000
75,George Town,5.4112,100.3354,91.49,70,0,4.21,MY,1579662000
76,Sao Filipe,14.8961,-24.4956,69.31,81,67,3.65,CV,1579662000
77,Punta Cardon,11.6581,-70.215,78.1,77,100,19.64,VE,1579662000
78,Bluff,-46.6,168.3333,74.62,49,71,6.93,NZ,1579662000
79,Nantucket,41.2835,-70.0995,28.71,67,87,8.7,US,1579662000
80,Alofi,-19.0595,-169.9187,82.49,69,72,6.04,NU,1579662000
81,Nemuro,43.3236,145.575,30.18,63,36,17.43,JP,1579662000
82,Harper,4.375,-7.7169,76.06,95,61,1.77,LR,1579662000
83,Sioux Lookout,50.1001,-91.917,24.12,90,100,11.5,CA,1579662000
84,Bredasdorp,-34.5322,20.0403,65.89,89,100,14.54,ZA,1579662000
85,Alyangula,-13.8483,136.4192,90.93,59,92,14.38,AU,1579662000
86,Baruun-Urt,46.6806,113.2792,10.35,80,100,6.89,MN,1579662000
87,Kapaa,22.0752,-159.319,75.74,75,35,5.68,US,1579662000
88,Marovoay,-16.1,46.6333,79.75,90,100,12.19,MG,1579662000
89,Mragowo,53.8644,21.3051,40.71,80,100,21.99,PL,1579662000
90,Mar del Plata,-38.0023,-57.5575,65.82,94,69,11.27,AR,1579662000
91,Chitral,35.8462,71.7858,5.31,86,100,3.2,PK,1579662000
92,Arraial do Cabo,-22.9661,-42.0278,74.62,85,100,3.22,BR,1579662000
93,Jamestown,42.097,-79.2353,18.25,95,89,5.44,US,1579662000
94,Lucea,18.451,-78.1736,79.02,69,22,3.04,JM,1579662000
95,Mwandiga,-4.83,29.6581,75.9,79,100,8.39,TZ,1579662000
96,Yellowknife,62.456,-114.3525,-6.45,89,55,5.46,CA,1579662000
97,East London,-33.0153,27.9116,68.9,84,12,9.75,ZA,1579662000
98,Mandan,46.8267,-100.8896,29.89,83,100,3.69,US,1579662000
99,Saint Anthony,45.0205,-93.218,18.68,87,100,12.66,US,1579662000
100,Atuona,-9.8,-139.0333,81.12,74,68,13.56,PF,1579662000
101,Lagoa,39.05,-27.9833,58.71,68,100,22.48,PT,1579662000
102,Safford,32.834,-109.7076,47.39,89,99,2.08,US,1579662000
103,Nanning,22.8167,108.3167,66.92,89,100,8.52,CN,1579662000
104,Half Moon Bay,37.4636,-122.4286,52.84,94,100,12.91,US,1579662000
105,Moron,-34.6534,-58.6198,75.11,78,0,9.82,AR,1579662000
106,Provideniya,64.3833,-173.3,5.74,96,100,1.68,RU,1579662000
107,Puerto Escondido,15.85,-97.0667,74.3,70,0,3.71,MX,1579662000
108,Tuktoyaktuk,69.4541,-133.0374,-18.47,83,0,9.19,CA,1579662000
109,Thompson,55.7435,-97.8558,25.48,93,100,8.97,CA,1579662000
110,Castro,-24.7911,-50.0119,62.6,93,100,6.15,BR,1579662000
111,Poum,-20.2333,164.0167,78.48,73,0,16.51,NC,1579662000
112,Camabatela,-8.1881,15.375,64.26,99,99,4.47,AO,1579662000
113,Narsaq,60.9167,-46.05,23.83,96,100,7.96,GL,1579662000
114,Pingliang,35.5392,106.6861,29.64,70,45,4.38,CN,1579662000
115,Husavik,66.0449,-17.3389,43.79,82,100,25.1,IS,1579662000
116,Pangnirtung,66.1451,-65.7125,-28.37,99,100,3.74,CA,1579662000
117,Soederhamn,61.3037,17.0592,34.56,60,16,9.53,SE,1579662000
118,Lipin Bor,60.2622,37.9763,28.26,86,96,11.77,RU,1579662000
119,Juneau,58.3019,-134.4197,31.06,97,100,2.53,US,1579662000
120,Tura,25.5198,90.2201,64.27,56,0,3.11,IN,1579662000
121,Pevek,69.7008,170.3133,-13.65,93,100,1.72,RU,1579662000
122,Gornyy,55.1153,83.9059,0.01,96,27,6.76,RU,1579662000
123,Esperance,-33.8667,121.9,63.05,73,100,26.37,AU,1579662000
124,Ruteng,-8.6136,120.4721,81.81,63,15,5.44,ID,1579662000
125,Chokurdakh,70.6333,147.9167,-34.78,98,85,7.76,RU,1579662000
126,Cariati,39.4922,16.9594,48.45,78,1,10.38,IT,1579662000
127,Tual,-5.6667,132.75,83.53,79,28,15.84,ID,1579662000
128,Ixtapa,20.7,-105.2,69.96,92,0,2.26,MX,1579662000
129,Panuco,22.05,-98.1667,63.18,85,96,2.77,MX,1579662000
130,Tamuin,21.9833,-98.75,63.19,79,83,2.82,MX,1579662000
131,Rome,43.2128,-75.4557,18.84,91,47,7.18,US,1579662000
132,Kozhevnikovo,56.2589,83.9714,-3.68,93,0,4.94,RU,1579662000
133,Zhezkazgan,47.8043,67.7144,18.19,93,100,14.14,KZ,1579662000
134,Tukrah,32.5341,20.5791,51.66,78,0,16.2,LY,1579662000
135,Campos Belos,-13.0367,-46.7717,72.18,92,100,4.05,BR,1579662000
136,Loreto,22.2667,-101.9667,62.15,46,65,8.81,MX,1579662000
137,Vao,-22.6667,167.4833,77.68,73,0,15.46,NC,1579662000
138,Tuatapere,-46.1333,167.6833,76.77,42,66,5.88,NZ,1579662000
139,Port Elizabeth,-33.918,25.5701,67.89,91,100,15.41,ZA,1579662000
140,Avera,33.194,-82.5271,31.32,46,0,7.58,US,1579662000
141,San Policarpo,12.1791,125.5072,79.18,76,7,17.65,PH,1579662000
142,Hambantota,6.1241,81.1185,81.75,76,89,22.15,LK,1579662000
143,Karratha,-20.7377,116.8463,86.34,64,0,17.05,AU,1579662000
144,Dwarka,22.2394,68.9678,69.57,53,15,19.35,IN,1579662000
145,Vagur,61.4732,-6.8119,45.55,82,100,9.62,FO,1579662000
146,Amapa,1.0,-52.0,69.76,97,13,3.42,BR,1579662000
147,Wamba,8.9333,8.6,71.11,28,87,4.94,NG,1579662000
148,Coquimbo,-29.9533,-71.3436,62.17,86,0,0.89,CL,1579662000
149,Nikolskoye,59.7035,30.7861,33.21,77,81,8.81,RU,1579662000
150,Tasiilaq,65.6145,-37.6368,22.98,92,100,34.45,GL,1579662000
151,Lodja,-3.4833,23.4333,72.72,70,100,1.19,CD,1579662000
152,Dongkan,33.9997,119.8308,47.53,88,100,10.78,CN,1579662000
153,Ilulissat,69.2167,-51.1,5.65,78,94,6.58,GL,1579662000
154,Kununurra,-15.7667,128.7333,98.46,36,0,16.73,AU,1579662000
155,Tera,14.0078,0.7531,72.43,26,32,7.58,NE,1579662000
156,Torrington,41.8007,-73.1212,15.17,82,13,5.17,US,1579662000
157,Arlit,18.7369,7.3853,68.04,17,17,15.73,NE,1579662000
158,Tiksi,71.6872,128.8694,-25.53,90,76,4.32,RU,1579662000
159,Nome,64.5011,-165.4064,7.84,96,92,4.68,US,1579662000
160,Tucuma,-0.1833,-50.05,76.41,87,58,9.19,BR,1579662000
161,Mount Isa,-20.7333,139.5,88.97,46,100,6.91,AU,1579662000
162,Torbay,47.6666,-52.7314,20.3,72,0,9.86,CA,1579662000
163,Port Augusta,-32.5,137.7667,92.55,21,28,23.69,AU,1579662000
164,New Norfolk,-42.7826,147.0587,84.04,27,100,10.92,AU,1579662000
165,Maniitsoq,65.4167,-52.9,22.48,87,100,15.08,GL,1579662000
166,Kidal,18.4411,1.4078,67.68,21,81,11.14,ML,1579662000
167,Nurota,40.5614,65.6886,26.19,82,81,5.57,UZ,1579662000
168,Salima,-13.7804,34.4587,68.14,84,100,4.21,MW,1579662000
169,Kovdor,67.5662,30.4758,21.72,91,100,12.15,RU,1579662000
170,Paharpur,32.1038,70.9724,48.52,81,7,1.3,PK,1579662000
171,Sorland,67.667,12.6934,38.79,67,39,22.15,NO,1579662000
172,Iqaluit,63.7506,-68.5145,-24.11,89,0,5.79,CA,1579662000
173,Port Hedland,-20.3167,118.5667,103.24,25,0,10.29,AU,1579662000
174,Antalaha,-14.9003,50.2788,81.84,82,100,5.44,MG,1579662000
175,Yulara,-25.2406,130.9889,102.83,12,0,10.8,AU,1579662000
176,Salalah,17.0151,54.0924,65.64,77,13,3.36,OM,1579662000
177,Guerrero Negro,27.9769,-114.0611,61.97,80,100,7.85,MX,1579662000
178,Sobinka,55.9855,40.0111,31.14,78,78,14.07,RU,1579662000
179,Marsabit,2.3284,37.9899,79.27,29,16,10.09,KE,1579662000
180,Ternitz,47.7156,16.0357,31.26,36,0,3.51,AT,1579662000
181,Kamina,-8.7386,24.9906,65.41,98,100,6.44,CD,1579662000
182,Pochutla,15.7432,-96.4661,80.69,76,0,11.59,MX,1579662000
183,Bethel,41.3712,-73.414,19.11,78,51,3.13,US,1579662000
184,Rawson,-43.3002,-65.1023,66.38,64,0,16.58,AR,1579662000
185,Isangel,-19.55,169.2667,82.9,65,51,11.25,VU,1579662000
186,Vostok,46.4856,135.8833,15.44,89,100,6.58,RU,1579662000
187,Tottori,35.5,134.2333,49.84,61,100,1.5,JP,1579662000
188,Korla,41.7597,86.1469,20.89,52,100,2.75,CN,1579662000
189,Hobyo,5.3505,48.5268,75.88,78,91,14.12,SO,1579662000
190,Zaliztsi,49.7919,25.373,30.83,72,11,18.75,UA,1579662000
191,Talcahuano,-36.7167,-73.1167,60.33,80,0,1.34,CL,1579662000
192,Malangawa,26.8568,85.5581,57.87,70,0,1.36,NP,1579662000
193,Klaksvik,62.2266,-6.589,44.62,81,98,8.68,FO,1579662000
194,Bambous Virieux,-20.3428,57.7575,80.28,85,100,17.56,MU,1579662000
195,Svetlaya,46.5389,138.3297,19.72,67,98,8.88,RU,1579662000
196,Coyhaique,-45.5752,-72.0662,51.84,93,0,4.83,CL,1579662000
197,Eilat,29.5581,34.9482,48.85,74,39,3.38,IL,1579662000
198,Ribeira Grande,38.5167,-28.7,54.82,73,56,13.53,PT,1579662000
199,Petoa,15.2667,-88.2833,68.81,95,100,0.54,HN,1579662000
200,Ancud,-41.8697,-73.8203,57.16,85,0,8.34,CL,1579662000
201,Maxixe,-23.8597,35.3472,75.34,76,20,11.74,MZ,1579662000
202,Saint George,37.1041,-113.5841,44.04,69,26,1.9,US,1579662000
203,Nanortalik,60.1432,-45.2371,26.42,81,100,20.29,GL,1579662000
204,Ribeirao das Neves,-19.7669,-44.0867,68.74,86,67,4.18,BR,1579662000
205,Kavaratti,10.5669,72.642,82.11,79,33,10.83,IN,1579662000
206,Okhotsk,59.3833,143.3,-14.87,73,2,5.86,RU,1579662000
207,Biak,-0.9131,122.8766,82.98,64,33,7.87,ID,1579662000
208,Krasnovishersk,60.4078,57.082,25.12,94,100,13.15,RU,1579662000
209,Anori,-3.7728,-61.6442,75.56,97,96,1.86,BR,1579662000
210,Klyuchi,52.2667,79.1667,15.89,94,100,10.51,RU,1579662000
211,Hirara,24.8,125.2833,72.43,71,67,13.09,JP,1579662000
212,Saldanha,-33.0117,17.9442,64.71,93,26,5.37,ZA,1579662000
213,Merauke,-8.4667,140.3333,90.16,58,84,10.29,ID,1579662000
214,Zheleznodorozhnyy,55.7503,38.0042,32.58,78,94,13.76,RU,1579662000
215,Igarka,67.4667,86.5833,-27.85,94,100,19.69,RU,1579662000
216,Angoche,-16.2325,39.9086,74.62,93,100,12.84,MZ,1579662000
217,Flinders,-34.5833,150.8552,79.68,78,0,30.29,AU,1579662000
218,Morgan City,29.6994,-91.2068,40.37,69,86,4.12,US,1579662000
219,Jonesboro,35.8423,-90.7043,26.71,68,44,5.59,US,1579662000
220,Los Llanos de Aridane,28.6585,-17.9182,62.24,59,0,8.3,ES,1579662000
221,Pacific Grove,36.6177,-121.9166,54.95,81,100,16.6,US,1579662000
222,Ambovombe,-25.1667,46.0833,68.9,85,68,13.02,MG,1579662000
223,Itarema,-2.9248,-39.9167,75.36,94,100,1.59,BR,1579662000
224,Havre-Saint-Pierre,50.2334,-63.5986,15.08,77,100,15.79,CA,1579662000
225,Nacala,-14.5428,40.6728,72.16,95,100,13.67,MZ,1579662000
226,Trinidad,-14.8333,-64.9,76.89,96,100,3.65,BO,1579662000
227,Aripuana,-9.1667,-60.6333,74.19,98,90,1.32,BR,1579662000
228,Srednekolymsk,67.45,153.6833,-23.98,98,100,8.79,RU,1579662000
229,Visnes,59.3556,5.2242,44.98,80,58,19.82,NO,1579662000
230,Ust-Nera,64.5667,143.2,-32.15,99,100,2.82,RU,1579662000
231,Machilipatnam,16.1667,81.1333,78.35,79,23,6.69,IN,1579662000
232,Vila Velha,-20.3297,-40.2925,71.71,95,100,2.37,BR,1579662000
233,Sobolevo,54.4299,31.8996,32.94,74,100,11.83,RU,1579662000
234,Khovd,48.0056,91.6419,6.35,53,87,4.34,MN,1579662000
235,Dogbo,6.8167,1.7833,73.45,75,44,2.68,BJ,1579662000
236,Ugoofaaru,5.6667,73.0,83.66,76,100,23.47,MV,1579662000
237,Bobrovka,54.047,61.7455,13.44,91,48,14.25,RU,1579662000
238,Xiaoshi,41.2971,124.1209,32.04,92,100,3.27,CN,1579662000
239,Nigde,37.8333,34.75,13.53,99,99,2.37,TR,1579662000
240,Ambon,-3.6954,128.1814,90.99,69,100,13.2,ID,1579662000
241,Limbang,4.75,115.0,95.65,55,0,2.06,MY,1579662000
242,Kaitangata,-46.2817,169.8464,68.16,90,100,9.48,NZ,1579662000
243,Kysyl-Syr,63.8986,122.7617,-19.48,95,98,6.64,RU,1579662000
244,Departamento de Maldonado,-34.6667,-54.9167,68.9,89,87,9.64,UY,1579662000
245,Zitsa,39.6943,20.6372,35.04,47,0,3.47,GR,1579662000
246,Oksfjord,70.2396,22.3479,24.19,97,91,4.97,NO,1579662000
247,Champerico,14.3,-91.9167,75.4,74,0,5.95,GT,1579662000
248,Payo,-3.7508,103.6372,76.75,84,58,3.56,ID,1579662000
249,Norman Wells,65.282,-126.8329,-9.27,86,0,3.8,CA,1579662000
250,Nizhniy Kuranakh,58.8353,125.4869,-10.12,85,0,1.23,RU,1579662000
251,Beringovskiy,63.05,179.3167,-9.99,99,1,12.06,RU,1579662000
252,Vanavara,60.34,102.2797,-27.26,96,61,5.68,RU,1579662000
253,Mirante do Paranapanema,-22.2919,-51.9064,74.3,75,27,0.98,BR,1579662000
254,Calama,-22.4667,-68.9333,61.72,28,100,3.6,CL,1579662000
255,Broken Hill,-31.95,141.4333,99.45,12,20,31.32,AU,1579662000
256,Abu Dhabi,24.4667,54.3667,65.03,56,0,8.66,AE,1579662000
257,El Alto,-4.2714,-81.2147,70.02,81,24,4.32,PE,1579662000
258,Itanhem,-17.1664,-40.33,71.44,90,100,3.53,BR,1579662000
259,Touros,-5.1989,-35.4608,82.09,75,30,6.93,BR,1579662000
260,Port-Cartier,50.0334,-66.8654,3.34,91,100,2.44,CA,1579662000
261,Iberia,29.9502,-91.7507,40.15,73,100,3.78,US,1579662000
262,Cayenne,4.9333,-52.3333,75.24,85,98,6.17,GF,1579662000
263,Verkhnyaya Inta,65.9811,60.3094,11.62,84,100,9.26,RU,1579662000
264,San Juan,-31.5375,-68.5364,91.47,24,56,8.21,AR,1579662000
265,Mackay,-21.15,149.2,90.99,59,32,9.33,AU,1579662000
266,Chiang Kham,19.5233,100.3,83.55,48,49,1.97,TH,1579662000
267,Umm Kaddadah,13.6017,26.6876,52.39,38,0,14.34,SD,1579662000
268,Atar,20.5169,-13.0499,58.42,42,24,7.56,MR,1579662000
269,Suntar,62.1444,117.6319,-6.07,92,100,4.41,RU,1579662000
270,Cockburn Town,21.4612,-71.1419,77.43,75,99,7.11,TC,1579662000
271,Hokitika,-42.7167,170.9667,63.5,77,3,7.7,NZ,1579662000
272,Praia da Vitoria,38.7333,-27.0667,58.46,69,100,22.66,PT,1579662000
273,Chimore,-16.9833,-65.1333,75.6,96,100,0.81,BO,1579662000
274,Fairbanks,64.8378,-147.7164,-5.71,99,100,0.98,US,1579662000
275,Srivardhan,18.0333,73.0167,74.95,59,0,4.72,IN,1579662000
276,Panguna,-6.3164,155.4848,79.14,84,72,4.52,PG,1579662000
277,Bara,10.3744,10.7288,63.46,25,34,8.41,NG,1579662000
278,Raja,8.4596,25.678,55.17,25,52,5.73,SS,1579662000
279,Beloha,-25.1667,45.05,69.06,83,47,15.35,MG,1579662000
280,Mandurah,-32.55,115.7,70.52,76,100,17.02,AU,1579662000
281,Mattawa,46.7379,-119.9028,35.74,81,3,11.23,US,1579662000
282,Kutulik,53.3508,102.7839,1.24,92,100,10.6,RU,1579662000
283,Khash,28.2211,61.2158,43.48,84,16,5.37,IR,1579662000
284,Lata,40.1629,-8.3327,46.62,78,64,4.38,PT,1579662000
285,Kulhudhuffushi,6.6221,73.07,83.73,74,63,18.88,MV,1579662000
286,Yumen,40.2833,97.2,19.29,58,0,3.98,CN,1579662000
287,Port Keats,-14.25,129.55,86.49,74,100,14.12,AU,1579662000
288,Cairns,-16.9167,145.7667,86.7,73,73,7.99,AU,1579662000
289,Ndioum,16.5129,-14.6471,73.63,12,100,8.72,SN,1579662000
290,Praia,14.9215,-23.5087,69.24,82,95,6.69,CV,1579662000
291,Westerland,54.9079,8.3033,43.72,92,100,15.39,DE,1579662000
292,Chara,56.9064,118.2631,-15.34,70,89,1.7,RU,1579662000
293,Belmonte,-15.8631,-38.8828,77.59,87,8,4.29,BR,1579662000
294,Show Low,34.2542,-110.0298,39.6,98,100,4.12,US,1579662000
295,Kronach,50.2396,11.3331,27.1,82,65,3.09,DE,1579662000
296,Asarganj,25.15,86.6833,60.28,45,0,4.59,IN,1579662000
297,Basti,26.8,82.7167,55.44,71,0,6.13,IN,1579662000
298,Barrow,71.2906,-156.7887,3.47,92,100,9.15,US,1579662000
299,Tigzirt,36.8886,4.1198,58.24,57,89,7.58,DZ,1579662000
300,Holbeach,52.804,0.0144,39.74,94,84,5.68,GB,1579662000
301,Taltal,-25.4,-70.4833,60.33,93,15,1.81,CL,1579662000
302,Leh,34.1667,77.5833,-9.44,84,100,4.07,IN,1579662000
303,Ashland,40.8167,-82.2665,18.12,90,0,6.44,US,1579662000
304,Sovetskaya Gavan',48.9723,140.2878,13.95,67,100,4.25,RU,1579662000
305,Flin Flon,54.7682,-101.865,22.37,84,100,11.79,CA,1579662000
306,Kismayo,-0.3582,42.5454,80.89,81,11,19.22,SO,1579662000
307,Lorengau,-2.0226,147.2712,83.79,75,42,15.32,PG,1579662000
308,Jilin,43.0,126.0,25.38,93,100,4.81,CN,1579662000
309,Oxford,51.7522,-1.256,34.83,96,68,5.3,GB,1579662000
310,Diveyevo,55.0433,43.2418,30.16,81,99,12.12,RU,1579662000
311,Tazovsky,67.4667,78.7,-4.83,95,100,16.24,RU,1579662000
312,Naze,28.3667,129.4833,68.76,67,100,11.07,JP,1579662000
313,Faya,18.3851,42.4509,49.48,86,36,5.39,SA,1579662000
314,Izumo,35.3667,132.7667,52.03,57,91,3.94,JP,1579662000
315,Orotukan,62.2667,151.7,-28.01,92,9,2.64,RU,1579662000
316,Minsk,53.9,27.5667,38.5,88,100,18.75,BY,1579662000
317,Dicabisagan,17.0818,122.4157,77.81,61,6,9.48,PH,1579662000
318,Nagtipunan,16.2167,121.6,72.14,59,6,5.73,PH,1579662000
319,Severo-Yeniseyskiy,60.3725,93.0408,-21.5,91,75,5.37,RU,1579662000
320,Tomatlan,19.9333,-105.25,68.83,87,0,2.13,MX,1579662000
321,Guasdualito,7.2424,-70.7324,81.1,60,100,5.37,VE,1579662000
322,Manokwari,-0.8667,134.0833,76.3,92,92,9.98,ID,1579662000
323,Litovko,49.2361,135.1742,8.35,92,100,7.56,RU,1579662000
324,Bonavista,48.6499,-53.1147,12.54,68,0,12.84,CA,1579662000
325,Benguela,-12.5763,13.4055,78.66,86,100,1.32,AO,1579662000
326,Anadyr,64.75,177.4833,-20.18,94,59,11.07,RU,1579662000
327,Kosh-Agach,50.0,88.6667,-9.62,88,76,1.01,RU,1579662000
328,Hualmay,-11.0964,-77.6139,68.88,87,100,2.73,PE,1579662000
329,Oktyabrskoye,43.0645,44.7417,28.47,42,80,2.73,RU,1579662000
330,Sitka,57.0531,-135.33,36.93,96,100,4.97,US,1579662000
331,Sault Ste. Marie,46.5168,-84.3333,27.91,86,100,6.87,CA,1579662000
332,Narimanov,46.6927,47.8498,32.13,87,99,22.73,RU,1579662000
333,Yarada,17.65,83.2667,75.58,79,52,10.87,IN,1579662000
334,Guna,24.65,77.3167,57.24,59,74,10.67,IN,1579662000
335,Bilibino,68.0546,166.4372,-30.15,100,100,2.21,RU,1579662000
336,Port Hardy,50.6996,-127.4199,39.58,95,100,5.01,CA,1579662000
337,Shingu,33.7333,135.9833,54.18,68,0,1.66,JP,1579662000
338,Aplahoue,6.9333,1.6833,75.36,71,96,3.18,BJ,1579662000
339,Mangrol,21.1167,70.1167,68.45,46,0,12.59,IN,1579662000
340,Vardo,70.3705,31.1107,26.78,81,100,35.03,NO,1579662000
341,Areka,7.0667,37.7,63.66,45,4,4.34,ET,1579662000
342,Margate,51.3813,1.3862,41.9,86,25,5.66,GB,1579662000
343,Chifeng,42.2683,118.9636,23.04,60,19,3.62,CN,1579662000
344,Mecca,21.4267,39.8261,57.16,71,0,5.64,SA,1579662000
345,Kenai,60.5544,-151.2583,19.81,86,100,5.46,US,1579662000
346,Tezu,27.9167,96.1667,61.54,53,99,1.61,IN,1579662000
347,Sabang,5.8933,95.3214,82.27,77,27,24.74,ID,1579662000
348,Urusha,54.05,122.9,-9.51,91,49,1.86,RU,1579662000
349,Kruisfontein,-34.0033,24.7314,63.77,97,100,14.83,ZA,1579662000
350,Verkhnevilyuysk,63.4453,120.3167,-10.84,95,100,5.66,RU,1579662000
351,Ostrovnoy,68.0531,39.5131,26.56,92,100,29.01,RU,1579662000
352,Norwalk,33.9022,-118.0817,57.54,68,32,5.59,US,1579662000
353,Raudeberg,61.9875,5.1352,41.94,62,100,15.66,NO,1579662000
354,Labuhan,-6.8844,112.2051,87.31,64,0,2.13,ID,1579662000
355,Emboscada,-25.15,-57.35,78.82,90,100,2.48,PY,1579662000
356,Suicheng,33.8963,117.9331,47.28,80,95,7.56,CN,1579662000
357,Viedma,-40.8135,-62.9967,67.24,60,59,12.33,AR,1579662000
358,Kibala,9.1104,18.3463,62.87,21,10,4.38,TD,1579662000
